Writer,Content,Date,Like,Tag,Comments,Url
jasonmedia6969,묵직한 돌,10-20,4754,[],50,https://www.tiktok.com/@jasonmedia6969/video/7291993302654651666?q=%EB%AF%B8%EB%94%94%EC%96%B4
jasonmedia6969,아무도 예상 못 했는데 춤 실력 개쩌는 스트리머,1-16,1235,['#춤'],10,https://www.tiktok.com/@jasonmedia6969/video/7189104754591665409?q=%EB%AF%B8%EB%94%94%EC%96%B4
jasonmedia6969,은둔의 쌍절곤 고수,2022-11-27,4745,"['#쌍절곤', '#레전드']",134,https://www.tiktok.com/@jasonmedia6969/video/7170508641810828546?q=%EB%AF%B8%EB%94%94%EC%96%B4
.kep1ianz,IM SOSOSOS SORRY FOR THE QUALITY IM THE BEGINNING! its now 700 days w/ kep1er! im soso proud of all of them they are so talented!! i wish them the best best best year ever in 2024.😭,2시간 전,49,[],2,https://www.tiktok.com/@.kep1ianz/video/7308600248983719174?q=%EB%AF%B8%EB%94%94%EC%96%B4
durikoreanews,,9-21,2423,"['#kbs', '#kbsnews', '#DuriKoreaNews', '#두리는방황중', '#dulineunbanghwa', '#대한민국', '#문학범']",122,https://www.tiktok.com/@durikoreanews/video/7280959554001620225?q=%EB%AF%B8%EB%94%94%EC%96%B4
user328284746761,,11-26,2219,"['#수능', '#협박', '#시험', '#고3수험생', '#변호사', '#공동대응', '#학교', '#고등학교', '#부정행위적발']",246,https://www.tiktok.com/@user328284746761/video/7305461710125583623?q=%EB%AF%B8%EB%94%94%EC%96%B4
marketing.calix,마케팅 고퀄리티 자료 찾는 방법,9-11,510,"['#마케팅', '#마케팅전략', '#마케팅공부', '#마케팅교육', '#마케팅세미나']",2,https://www.tiktok.com/@marketing.calix/video/7277521481150631176?q=%EB%AF%B8%EB%94%94%EC%96%B4
user64j5v0ucen,위대한:마동석 30초 컷,2-2,16.8K,"['#팝콘티비', '#부산bj', '#구성회', '#신태일', '#김윤태']",1020,https://www.tiktok.com/@user64j5v0ucen/video/7195368023954410754?q=%EB%AF%B8%EB%94%94%EC%96%B4
jasonmedia6969,지구 최대 규모의 동굴,10-4,2995,[],4,https://www.tiktok.com/@jasonmedia6969/video/7286096878171589895?q=%EB%AF%B8%EB%94%94%EC%96%B4
phone_2dollar,LG폰사업종료 사용자불이익은?,2021-4-6,33.6K,"['#2달러', '#it유튜버', '#우쥬스쿨', '#우쥬록스']",1939,https://www.tiktok.com/@phone_2dollar/video/6948015409316531457?q=%EB%AF%B8%EB%94%94%EC%96%B4
spicynewskr,BTS 무시하던 일본 아이돌에게 팩폭 날리는 미국 심사위원ㅋㅋ,2022-9-29,19.5K,"['#얼큰한뉴스', '#아이돌', '#일본', '#팩폭', '#bts', '#틱톡뉴스']",267,https://www.tiktok.com/@spicynewskr/video/7148716057065278721?q=%EB%AF%B8%EB%94%94%EC%96%B4
da9an9,교수님 내 계정 아는데.. 그래도 올려봄,9-7,6350,['#부산'],79,https://www.tiktok.com/@da9an9/video/7276006356157615368?q=%EB%AF%B8%EB%94%94%EC%96%B4
tootee_g,제발,9-14,17.1K,"['#석유', '#초전도체', '#대한민국']",132,https://www.tiktok.com/@tootee_g/video/7278613118975003906?q=%EB%AF%B8%EB%94%94%EC%96%B4
durikoreanews,,3-3,4312,"['#kbs', '#kbsnews', '#DuriKoreaNews', '#두리는방황중', '#southkoreanews', '#문과장', '#대한민국']",125,https://www.tiktok.com/@durikoreanews/video/7206072228910206209?q=%EB%AF%B8%EB%94%94%EC%96%B4
kbsnewsofficial,충남 태안의 한 건물 지하주차장에서 15살 여중생이 한 살 어린 후배를 일방적으로 폭행해 경찰이 조사 중입니다.,5-4,32.1K,[],1437,https://www.tiktok.com/@kbsnewsofficial/video/7229152620550704385?q=%EB%AF%B8%EB%94%94%EC%96%B4
hongjoshua13,CONGRATS SEVENTEEN🥳,11-3,16.3K,['#seventeen'],155,https://www.tiktok.com/@hongjoshua13/video/7297166883885812998?q=%EB%AF%B8%EB%94%94%EC%96%B4
jasonmedia6969,이스라엘 대테러 부대 수준,1-6,3605,"['#대테러', '#이스라엘', '#카운터테러']",41,https://www.tiktok.com/@jasonmedia6969/video/7185373025221512450?q=%EB%AF%B8%EB%94%94%EC%96%B4
0202w2,일당 1650만원 노역… 기가 차다 정말 . . . . .,11-20,1112,[],570,https://www.tiktok.com/@0202w2/video/7303318811028000001?q=%EB%AF%B8%EB%94%94%EC%96%B4
jasonmedia6969,태국 쥐 튀김 레전드,3-19,3799,"['#쥐튀김', '#먹거리', '#음식']",196,https://www.tiktok.com/@jasonmedia6969/video/7212187387986758913?q=%EB%AF%B8%EB%94%94%EC%96%B4
yesterdaysnewss,[],10-30,1996,[],24,https://www.tiktok.com/@yesterdaysnewss/video/7295552379464797458?q=%EB%AF%B8%EB%94%94%EC%96%B4
jasonmedia6969,시속 160,11-8,821,[],21,https://www.tiktok.com/@jasonmedia6969/video/7299008315185548552?q=%EB%AF%B8%EB%94%94%EC%96%B4
bj_ssak3,,5-15,389.6K,"['#AI아티스트', '#그림그리기', '#플레이그라운드ai', '#오케이쌤', '#오케이쌤아트', '#안녕ai', '#업쌈']",9933,https://www.tiktok.com/@bj_ssak3/video/7233145421797838081?q=%EB%AF%B8%EB%94%94%EC%96%B4
jasonmedia6969,일본 고등학생 화학 실험 레전드,9-25,961,"['#과학', '#실험']",21,https://www.tiktok.com/@jasonmedia6969/video/7282662578608753927?q=%EB%AF%B8%EB%94%94%EC%96%B4
na_yyng,제가 다니는 회사가 JMS입니다..,3-17,2998,"['#소름썰', '#우리들의이야기']",34,https://www.tiktok.com/@na_yyng/video/7211521627853573377?q=%EB%AF%B8%EB%94%94%EC%96%B4
d0d_x,"너 T발 C야? 저 ESFP요,,",8-10,42.2K,"['#크리에이터미디어대전', '#냅두세요', '#순이엔티', '#kejimin', '#kefreesun']",81,https://www.tiktok.com/@d0d_x/video/7265556545331547393?q=%EB%AF%B8%EB%94%94%EC%96%B4
pingdolmovies,"핑크돌고래 바오-1,",2022-1-24,26.5K,"['#pinkdolphinmedia', '#bao', '#디즈니', '#disney', '#픽사', '#pixar', '#중국', '#china']",211,https://www.tiktok.com/@pingdolmovies/video/7056602736523054338?q=%EB%AF%B8%EB%94%94%EC%96%B4
vanxinh3920,Hiến tóc tại Hàn,8-6,97,"['#hientoc', '#모발기부']",10,https://www.tiktok.com/@vanxinh3920/video/7263864245274643719?q=%EB%AF%B8%EB%94%94%EC%96%B4
